periodo,localizacao,numero_transacoes,ano,trimestre_num,periodo_ordem,data_trimestre
1.º Trimestre de 2023,PT: Portugal,6857332.0,2023,1,20231,2023-Q1
1.º Trimestre de 2023,1: Continente,6575193.0,2023,1,20231,2023-Q1
1.º Trimestre de 2023,11: Norte,1613625.0,2023,1,20231,2023-Q1
1.º Trimestre de 2023,19: Centro,612761.0,2023,1,20231,2023-Q1
1.º Trimestre de 2023,1D: Oeste e Vale do Tejo,417729.0,2023,1,20231,2023-Q1
1.º Trimestre de 2023,1A: Grande Lisboa,2183725.0,2023,1,20231,2023-Q1
1.º Trimestre de 2023,1B: Península de Setúbal,598955.0,2023,1,20231,2023-Q1
1.º Trimestre de 2023,1C: Alentejo,201441.0,2023,1,20231,2023-Q1
1.º Trimestre de 2023,15: Algarve,946956.0,2023,1,20231,2023-Q1
1.º Trimestre de 2023,2: Região Autónoma dos Açores,86800.0,2023,1,20231,2023-Q1
1.º Trimestre de 2023,20: Região Autónoma dos Açores,86800.0,2023,1,20231,2023-Q1
1.º Trimestre de 2023,3: Região Autónoma da Madeira,195339.0,2023,1,20231,2023-Q1
1.º Trimestre de 2023,30: Região Autónoma da Madeira,195339.0,2023,1,20231,2023-Q1
4.º Trimestre de 2022,PT: Portugal,7362219.0,2022,4,20224,2022-Q4
4.º Trimestre de 2022,1: Continente,7065974.0,2022,4,20224,2022-Q4
4.º Trimestre de 2022,11: Norte,1737340.0,2022,4,20224,2022-Q4
4.º Trimestre de 2022,19: Centro,671523.0,2022,4,20224,2022-Q4
4.º Trimestre de 2022,1D: Oeste e Vale do Tejo,482495.0,2022,4,20224,2022-Q4
4.º Trimestre de 2022,1A: Grande Lisboa,2302466.0,2022,4,20224,2022-Q4
4.º Trimestre de 2022,1B: Península de Setúbal,700056.0,2022,4,20224,2022-Q4
4.º Trimestre de 2022,1C: Alentejo,226056.0,2022,4,20224,2022-Q4
4.º Trimestre de 2022,15: Algarve,946037.0,2022,4,20224,2022-Q4
4.º Trimestre de 2022,2: Região Autónoma dos Açores,115774.0,2022,4,20224,2022-Q4
4.º Trimestre de 2022,20: Região Autónoma dos Açores,115774.0,2022,4,20224,2022-Q4
4.º Trimestre de 2022,3: Região Autónoma da Madeira,180472.0,2022,4,20224,2022-Q4
4.º Trimestre de 2022,30: Região Autónoma da Madeira,180472.0,2022,4,20224,2022-Q4
3.º Trimestre de 2022,PT: Portugal,8051492.0,2022,3,20223,2022-Q3
3.º Trimestre de 2022,1: Continente,7714055.0,2022,3,20223,2022-Q3
3.º Trimestre de 2022,11: Norte,1876987.0,2022,3,20223,2022-Q3
3.º Trimestre de 2022,19: Centro,682619.0,2022,3,20223,2022-Q3
3.º Trimestre de 2022,1D: Oeste e Vale do Tejo,494570.0,2022,3,20223,2022-Q3
3.º Trimestre de 2022,1A: Grande Lisboa,2588479.0,2022,3,20223,2022-Q3
3.º Trimestre de 2022,1B: Península de Setúbal,799397.0,2022,3,20223,2022-Q3
3.º Trimestre de 2022,1C: Alentejo,243679.0,2022,3,20223,2022-Q3
3.º Trimestre de 2022,15: Algarve,1028325.0,2022,3,20223,2022-Q3
3.º Trimestre de 2022,2: Região Autónoma dos Açores,108289.0,2022,3,20223,2022-Q3
3.º Trimestre de 2022,20: Região Autónoma dos Açores,108289.0,2022,3,20223,2022-Q3
3.º Trimestre de 2022,3: Região Autónoma da Madeira,229148.0,2022,3,20223,2022-Q3
3.º Trimestre de 2022,30: Região Autónoma da Madeira,229148.0,2022,3,20223,2022-Q3
2.º Trimestre de 2022,PT: Portugal,8287705.0,2022,2,20222,2022-Q2
2.º Trimestre de 2022,1: Continente,7964577.0,2022,2,20222,2022-Q2
2.º Trimestre de 2022,11: Norte,1851936.0,2022,2,20222,2022-Q2
2.º Trimestre de 2022,19: Centro,685881.0,2022,2,20222,2022-Q2
2.º Trimestre de 2022,1D: Oeste e Vale do Tejo,515138.0,2022,2,20222,2022-Q2
2.º Trimestre de 2022,1A: Grande Lisboa,2652189.0,2022,2,20222,2022-Q2
2.º Trimestre de 2022,1B: Península de Setúbal,825225.0,2022,2,20222,2022-Q2
2.º Trimestre de 2022,1C: Alentejo,236558.0,2022,2,20222,2022-Q2
2.º Trimestre de 2022,15: Algarve,1197651.0,2022,2,20222,2022-Q2
2.º Trimestre de 2022,2: Região Autónoma dos Açores,95860.0,2022,2,20222,2022-Q2
2.º Trimestre de 2022,20: Região Autónoma dos Açores,95860.0,2022,2,20222,2022-Q2
2.º Trimestre de 2022,3: Região Autónoma da Madeira,227268.0,2022,2,20222,2022-Q2
2.º Trimestre de 2022,30: Região Autónoma da Madeira,227268.0,2022,2,20222,2022-Q2
1.º Trimestre de 2022,PT: Portugal,8081797.0,2022,1,20221,2022-Q1
1.º Trimestre de 2022,1: Continente,7778473.0,2022,1,20221,2022-Q1
1.º Trimestre de 2022,11: Norte,1910902.0,2022,1,20221,2022-Q1
1.º Trimestre de 2022,19: Centro,663628.0,2022,1,20221,2022-Q1
1.º Trimestre de 2022,1D: Oeste e Vale do Tejo,456886.0,2022,1,20221,2022-Q1
1.º Trimestre de 2022,1A: Grande Lisboa,2639455.0,2022,1,20221,2022-Q1
1.º Trimestre de 2022,1B: Península de Setúbal,758606.0,2022,1,20221,2022-Q1
1.º Trimestre de 2022,1C: Alentejo,233024.0,2022,1,20221,2022-Q1
1.º Trimestre de 2022,15: Algarve,1115974.0,2022,1,20221,2022-Q1
1.º Trimestre de 2022,2: Região Autónoma dos Açores,98743.0,2022,1,20221,2022-Q1
1.º Trimestre de 2022,20: Região Autónoma dos Açores,98743.0,2022,1,20221,2022-Q1
1.º Trimestre de 2022,3: Região Autónoma da Madeira,204581.0,2022,1,20221,2022-Q1
1.º Trimestre de 2022,30: Região Autónoma da Madeira,204581.0,2022,1,20221,2022-Q1
4.º Trimestre de 2021,PT: Portugal,8225207.0,2021,4,20214,2021-Q4
4.º Trimestre de 2021,1: Continente,7933276.0,2021,4,20214,2021-Q4
4.º Trimestre de 2021,11: Norte,1927112.0,2021,4,20214,2021-Q4
4.º Trimestre de 2021,19: Centro,652552.0,2021,4,20214,2021-Q4
4.º Trimestre de 2021,1D: Oeste e Vale do Tejo,493504.0,2021,4,20214,2021-Q4
4.º Trimestre de 2021,1A: Grande Lisboa,2712834.0,2021,4,20214,2021-Q4
4.º Trimestre de 2021,1B: Península de Setúbal,746982.0,2021,4,20214,2021-Q4
4.º Trimestre de 2021,1C: Alentejo,229479.0,2021,4,20214,2021-Q4
4.º Trimestre de 2021,15: Algarve,1170812.0,2021,4,20214,2021-Q4
4.º Trimestre de 2021,2: Região Autónoma dos Açores,109753.0,2021,4,20214,2021-Q4
4.º Trimestre de 2021,20: Região Autónoma dos Açores,109753.0,2021,4,20214,2021-Q4
4.º Trimestre de 2021,3: Região Autónoma da Madeira,182178.0,2021,4,20214,2021-Q4
4.º Trimestre de 2021,30: Região Autónoma da Madeira,182178.0,2021,4,20214,2021-Q4
3.º Trimestre de 2021,PT: Portugal,7345978.0,2021,3,20213,2021-Q3
3.º Trimestre de 2021,1: Continente,7117453.0,2021,3,20213,2021-Q3
3.º Trimestre de 2021,11: Norte,1758824.0,2021,3,20213,2021-Q3
3.º Trimestre de 2021,19: Centro,605750.0,2021,3,20213,2021-Q3
3.º Trimestre de 2021,1D: Oeste e Vale do Tejo,472862.0,2021,3,20213,2021-Q3
3.º Trimestre de 2021,1A: Grande Lisboa,2341398.0,2021,3,20213,2021-Q3
3.º Trimestre de 2021,1B: Península de Setúbal,729091.0,2021,3,20213,2021-Q3
3.º Trimestre de 2021,1C: Alentejo,211932.0,2021,3,20213,2021-Q3
3.º Trimestre de 2021,15: Algarve,997596.0,2021,3,20213,2021-Q3
3.º Trimestre de 2021,2: Região Autónoma dos Açores,85609.0,2021,3,20213,2021-Q3
