
Quadro extraído em 25 de Maio de 2026 (15:21:40)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Transações (?) de alojamentos familiares por Localização geográfica (NUTS - 2024), Categoria do alojamento familiar, Domicílio fiscal do comprador e Setor institucional do comprador -  Trimestral;
;;Categoria do alojamento familiar;
;;Total;
;;Domicílio fiscal do comprador;
;;Total;
;;Setor institucional do comprador;
;;Total;
;;? (milhares);
4.º Trimestre de 2017;PT: Portugal;4898678;
;1: Continente;4753843;
;11: Norte;1111659;
;19: Centro;408417;
;1D: Oeste e Vale do Tejo;251069;
;1A: Grande Lisboa;1801256;
;1B: Península de Setúbal;395668;
;1C: Alentejo;130251;
;15: Algarve;655522;
;2: Região Autónoma dos Açores;53436;
;20: Região Autónoma dos Açores;53436;
;3: Região Autónoma da Madeira;91399;
;30: Região Autónoma da Madeira;91399;
3.º Trimestre de 2017;PT: Portugal;4258992;
;1: Continente;4128470;
;11: Norte;1006657;
;19: Centro;362645;
;1D: Oeste e Vale do Tejo;221253;
;1A: Grande Lisboa;1583751;
;1B: Península de Setúbal;322975;
;1C: Alentejo;108508;
;15: Algarve;522682;
;2: Região Autónoma dos Açores;40069;
;20: Região Autónoma dos Açores;40069;
;3: Região Autónoma da Madeira;90452;
;30: Região Autónoma da Madeira;90452;
2.º Trimestre de 2017;PT: Portugal;4021419;
;1: Continente;3909709;
;11: Norte;915581;
;19: Centro;321855;
;1D: Oeste e Vale do Tejo;196887;
;1A: Grande Lisboa;1540081;
;1B: Península de Setúbal;296864;
;1C: Alentejo;98983;
;15: Algarve;539459;
;2: Região Autónoma dos Açores;40934;
;20: Região Autónoma dos Açores;40934;
;3: Região Autónoma da Madeira;70776;
;30: Região Autónoma da Madeira;70776;
1.º Trimestre de 2017;PT: Portugal;3800102;
;1: Continente;3672405;
;11: Norte;883458;
;19: Centro;311643;
;1D: Oeste e Vale do Tejo;190684;
;1A: Grande Lisboa;1461672;
;1B: Península de Setúbal;269078;
;1C: Alentejo;90856;
;15: Algarve;465015;
;2: Região Autónoma dos Açores;45833;
;20: Região Autónoma dos Açores;45833;
;3: Região Autónoma da Madeira;81864;
;30: Região Autónoma da Madeira;81864;
4.º Trimestre de 2016;PT: Portugal;3551512;
;1: Continente;3444365;
;11: Norte;795329;
;19: Centro;297406;
;1D: Oeste e Vale do Tejo;172730;
;1A: Grande Lisboa;1346954;
;1B: Península de Setúbal;251714;
;1C: Alentejo;89934;
;15: Algarve;490298;
;2: Região Autónoma dos Açores;41282;
;20: Região Autónoma dos Açores;41282;
;3: Região Autónoma da Madeira;65865;
;30: Região Autónoma da Madeira;65865;
3.º Trimestre de 2016;PT: Portugal;3173236;
;1: Continente;3069567;
;11: Norte;757252;
;19: Centro;268679;
;1D: Oeste e Vale do Tejo;158514;
;1A: Grande Lisboa;1185880;
;1B: Península de Setúbal;227888;
;1C: Alentejo;77724;
;15: Algarve;393631;
;2: Região Autónoma dos Açores;39424;
;20: Região Autónoma dos Açores;39424;
;3: Região Autónoma da Madeira;64244;
;30: Região Autónoma da Madeira;64244;
2.º Trimestre de 2016;PT: Portugal;3267885;
;1: Continente;3175825;
;11: Norte;738477;
;19: Centro;273275;
;1D: Oeste e Vale do Tejo;165337;
;1A: Grande Lisboa;1227712;
